Date,Category,Region,Quantity,UnitPrice,Revenue
2022-01-01,Electronics,East,3,156.66,610.97
2022-01-01,Beauty,West,2,27.56,71.65
2022-01-01,Beauty,South,4,31.78,165.25
2022-01-01,Electronics,East,2,201.83,524.77
2022-01-01,Beauty,West,2,32.46,84.39
2022-01-01,Electronics,North,4,155.17,806.87
2022-01-01,Electronics,West,4,180.73,939.79
2022-01-01,Beauty,South,2,28.7,74.62
2022-01-01,Electronics,East,2,212.78,553.23
2022-01-01,Clothing,South,2,46.86,121.84
2022-01-01,Sports,East,4,56.65,294.57
2022-01-01,Clothing,West,3,45.43,177.19
2022-01-01,Clothing,East,3,40.45,157.74
2022-01-01,Clothing,South,1,45.05,58.57
2022-01-01,Electronics,West,4,164.55,855.68
2022-01-01,Electronics,South,4,205.44,1068.31
2022-01-01,Beauty,West,4,32.93,171.26
2022-01-01,Home & Kitchen,East,1,69.07,89.79
2022-01-02,Sports,North,3,48.18,187.88
2022-01-02,Electronics,East,3,197.53,770.37
2022-01-02,Beauty,West,1,27.59,35.86
2022-01-02,Clothing,West,4,46.8,243.35
2022-01-02,Clothing,South,3,51.3,200.08
2022-01-02,Electronics,East,1,157.7,205.01
2022-01-03,Beauty,East,3,29.81,89.43
2022-01-03,Sports,West,4,63.93,255.73
2022-01-03,Sports,North,1,63.53,63.53
2022-01-03,Clothing,South,4,52.89,211.57
2022-01-03,Sports,West,1,48.23,48.23
2022-01-03,Home & Kitchen,West,1,66.82,66.82
2022-01-03,Sports,South,3,61.59,184.77
2022-01-03,Clothing,North,3,44.98,134.95
2022-01-03,Clothing,North,3,49.48,148.45
2022-01-03,Sports,West,2,63.83,127.66
2022-01-03,Electronics,East,2,173.49,346.97
2022-01-03,Beauty,West,4,28.97,115.9
2022-01-03,Electronics,North,3,154.98,464.94
2022-01-04,Home & Kitchen,West,4,74.25,297.01
2022-01-04,Clothing,West,2,48.23,96.46
2022-01-04,Sports,East,1,60.77,60.77
2022-01-04,Beauty,West,3,32.56,97.67
2022-01-04,Electronics,South,1,183.84,183.84
2022-01-04,Electronics,North,4,210.22,840.88
2022-01-04,Electronics,North,2,184.67,369.34
2022-01-04,Clothing,North,1,42.74,42.74
2022-01-04,Home & Kitchen,North,4,63.52,254.09
2022-01-04,Clothing,East,3,43.34,130.02
2022-01-04,Clothing,North,1,40.14,40.14
2022-01-04,Beauty,East,2,30.86,61.73
2022-01-04,Electronics,South,1,204.53,204.53
2022-01-04,Beauty,East,2,26.66,53.31
2022-01-04,Beauty,West,4,28.14,112.57
2022-01-05,Electronics,West,2,209.52,419.05
2022-01-05,Home & Kitchen,East,4,57.56,230.23
2022-01-05,Beauty,West,1,32.24,32.24
2022-01-05,Clothing,West,4,52.38,209.52
2022-01-05,Beauty,East,3,29.06,87.18
2022-01-05,Sports,North,4,56.95,227.78
2022-01-05,Electronics,West,4,209.61,838.44
2022-01-05,Clothing,North,2,52.81,105.63
2022-01-05,Clothing,South,4,40.42,161.66
2022-01-05,Home & Kitchen,West,1,70.97,70.97
2022-01-05,Electronics,East,3,167.27,501.81
2022-01-05,Beauty,East,3,32.43,97.29
2022-01-05,Electronics,West,4,195.69,782.75
2022-01-06,Home & Kitchen,West,2,57.46,114.92
2022-01-06,Electronics,North,2,211.98,423.96
2022-01-06,Clothing,East,1,43.24,43.24
2022-01-06,Beauty,North,4,28.59,114.37
2022-01-06,Beauty,East,4,25.66,102.65
2022-01-06,Electronics,West,2,213.1,426.2
2022-01-06,Clothing,East,4,48.42,193.66
2022-01-06,Clothing,North,4,49.63,198.51
